Hallo,Hallo jeg heter Daniel
Unnskyld meg,Unnskyld meg for at jeg er sen
Beklager,Jeg beklager. Han er ikke her akkurat nå
God natt,God natt og tusen takk
Hyggelig å møte deg,Mitt navn er Daniel. Hyggelig å møte deg
Hvordan går det?,God morgen hvordan går det?
Ja,Ja hva trenger du hjelp til?
Nei,Det er ikke mulig nei
Takk,Takk for hjelpen
Jeg er,Jeg er Daniel
Ha det bra,Ha det bra. Sees igjen!
Dårlig,Dårlig dag
God,Grønnsaker er godt for deg
Pen,Du er veldig pen
Stygg,Det er en veldig stygg hund
Lett,Det er lett å forstå
Vanskelig,Engelsk er vanskelig
Nær,Jeg bor nær universitetet
Langt,Stasjonen er langt herifra
Liten,Bilen er liten men veldig kraftig
I dag,I dag klokka 6:15
I går,Jeg tok meg fri i går
I morgen,Det skal bli sol i morgen
Uke,Det er syv dager i en uke
År,Ett kalenderår
Sekund,I ti sekunder
Time,Jeg kommer hjem fra joben om en time
Minutt,Det er ett minutt til midnatt
Klokke,Veggklokken henger på veggen
Klokken,Klokken er åtte
Bryllusdagen,Jeg har markert bryllupsdagen vår på kalenderen
Mandag,Arbeidsuken begynner på mandag
Tirsdag,1 januar er på en tirsdag i år
Onsdag,På onsdagskveldene spiller vi poker hjemme hos meg
Torsdag,På torsdag
Fredag,Fredag 8 desember
Lørdag,Ingen planer på lørdag
Søndag,Søndag er farsdag
Gjøre,Å gjøre alt
Gå,Gå rett fram
Le,Le av et bilde
Deilig,Det ser deilig ut!
Vann,Glass med vann
Te,Kvinnen drikker te
Kaffe,Kaffekanna er full av kaffe
Øl,Bartenderen heller et glass med fatøl
Vin,Man drikker rødvin med kjøtt, og hvitvin med fisk
Storfekøtt,Storfekøtt er hovedretten
Kylling,Jeg liker ikke kyllingskinn
Svinekjøtt,Svinekjøtt er kjøttet fra en gris
Fisk,Japanere spiser mye fisk
Lam,Lam er veldig godt
Lege,Legen undersøker foten
Politimann,Politimann i uniform
Lærer,Engeslklærer
Ansatt,Ansattfordeler
Bevege seg mot,Bevege seg mot et videokamera
Se,Jeg skal se et teaterstykke på søndag
Lage,Kokken lager middag
Bruke,Jeg bruker en datamaskin på jobb
hånd,venstre hånd
arm,muskuløs arm
fot,en fot har fem tær
ben,lange ben
finger,fingeren er trykket mot glasset
rygg,ryggen til pinnsvinet er dekket med spisse tagger
mage,jeg har mageknip
brystkasse,røntgen av en brystkasse
januar,tirsdag 1 januar
februar,februar er den korteste måneden med 28 dager
mars,nå er det april så forrige måned var mars
april, regn i april gir blomster i mai
mai,31 mai er verdens røykfrie dag
juni,vi skal gifte oss i juni
juli,juli måned
august,skolen er stengt i august
september,i dag er det lørdag 10 september
oktober,julebrus blir bare solgt fra oktober til slutten av desember
november,thanksgiving torsdag 24 november
desember,25 desember
kunne,kan hoppe over
null,det er omtrent null grader i dag
en,en grad
to,nummeret to er favorittnummeret mitt
tre,den første gruppen kom på buss nummer tre
fire,nummer fire
fem,sjøstjrnen har fem ben
seks,har dere et bord for seks?
syv,det er syv dager i hver uke
åtte,klokke er åtte
ni,nitti-ni prosent
ti,jeg kan telle fra en til ti på kinesisk
selger,selgeren hilser på en kunte
daglig leder,den daglig lederer tar en pause ved bordet
kokk,sjefskok
ingeniør,en flink ingeniør kan designe og bygge systemer
programmerer,dataprogrammerer
sykepleier,kinnen er en sykepleier
kropp,kropp og sjel
hude,bruk hjelm for å beskytte hodet ditt
