word,example,type,level
ellos,ellos voy al parque.,pronoun,A1
donde,Quiero un café donde no tengo dinero.,conjunction,A1
porque,Quiero un café porque no tengo dinero.,conjunction,A1
silla,Veo una silla en la calle.,noun,A1
pequeño,Es un coche muy pequeño.,adjective,A1
vosotros,vosotros voy al parque.,pronoun,A1
escribir,Me gusta escribir todos los días.,verb,A1
ayer,Él corre ayer.,adverb,A1
correr,Me gusta correr todos los días.,verb,A1
lento,Es un coche muy lento.,adjective,A1
y,Quiero un café y no tengo dinero.,conjunction,A1
hoy,Él corre hoy.,adverb,A1
rápido,Es un coche muy rápido.,adjective,A1
con,El libro está con la mesa.,preposition,A1
coche,Veo una coche en la calle.,noun,A1
ustedes,ustedes voy al parque.,pronoun,A1
usted,usted voy al parque.,pronoun,A1
perro,Veo una perro en la calle.,noun,A1
siempre,Él corre siempre.,adverb,A1
bien,Él corre bien.,adverb,A1
tú,tú voy al parque.,pronoun,A1
bajo,El libro está bajo la mesa.,preposition,A1
beber,Me gusta beber todos los días.,verb,A1
aunque,Quiero un café aunque no tengo dinero.,conjunction,A1
bueno,Es un coche muy bueno.,adjective,A1
él,él voy al parque.,pronoun,A1
pero,Quiero un café pero no tengo dinero.,conjunction,A1
yo,yo voy al parque.,pronoun,A1
aquí,Él corre aquí.,adverb,A1
mal,Él corre mal.,adverb,A1
si,Quiero un café si no tengo dinero.,conjunction,A1
o,Quiero un café o no tengo dinero.,conjunction,A1
ellas,ellas voy al parque.,pronoun,A1
que,Quiero un café que no tengo dinero.,conjunction,A1
lentamente,Él corre lentamente.,adverb,A1
hacia,El libro está hacia la mesa.,preposition,A1
hablar,Me gusta hablar todos los días.,verb,A1
rápidamente,Él corre rápidamente.,adverb,A1
viejo,Es un coche muy viejo.,adjective,A1
nunca,Él corre nunca.,adverb,A1
caminar,Me gusta caminar todos los días.,verb,A1
nuevo,Es un coche muy nuevo.,adjective,A1
estudiar,Me gusta estudiar todos los días.,verb,A1
ciudad,Veo una ciudad en la calle.,noun,A1
grande,Es un coche muy grande.,adjective,A1
sobre,El libro está sobre la mesa.,preposition,A1
en,El libro está en la mesa.,preposition,A1
nosotros,nosotros voy al parque.,pronoun,A1
libro,Veo una libro en la calle.,noun,A1
vivir,Me gusta vivir todos los días.,verb,A1
familia,Veo una familia en la calle.,noun,A1
sin,El libro está sin la mesa.,preposition,A1
comer,Me gusta comer todos los días.,verb,A1
allí,Él corre allí.,adverb,A1
triste,Es un coche muy triste.,adjective,A1
mientras,Quiero un café mientras no tengo dinero.,conjunction,A1
por,El libro está por la mesa.,preposition,A1
mesa,Veo una mesa en la calle.,noun,A1
escuela,Veo una escuela en la calle.,noun,A1
trabajar,Me gusta trabajar todos los días.,verb,A1
cuando,Quiero un café cuando no tengo dinero.,conjunction,A1
leer,Me gusta leer todos los días.,verb,A1
gato,Veo una gato en la calle.,noun,A1
ella,ella voy al parque.,pronoun,A1
de,El libro está de la mesa.,preposition,A1
feliz,Es un coche muy feliz.,adjective,A1
casa,Veo una casa en la calle.,noun,A1
para,El libro está para la mesa.,preposition,A1
bonito,Es un coche muy bonito.,adjective,A1
a,El libro está a la mesa.,preposition,A1
